1,"[14584, 503, 2956, 198, 5105, 707, 1216, 1923, 1145, 2379, 10864, 785, 918, 7, 7639, 3805, 503, 2944, 518, 5337, 512, 1373, 923, 707, 512, 1360, 514, 2014, 1275, 958, 3799, 2344, 4572, 726, 724, 1339, 1229, 198, 978, 10310, 922, 1274, 7047, 978, 3786, 917, 198, 1044, 3549, 2762, 2946, 952, 2835, 6133, 1672, 1249, 7, 1366, 3717, 707, 3471, 943, 7, 947, 1104, 1044, 3445, 4103, 1360, 1417, 1540, 8259, 724, 7, 770, 6819, 7419, 15063, 1131, 2172, 4135, 3240, 497, 923, 1104, 710, 928, 1527, 815, 2778, 4170, 378, 10870, 514, 768, 810, 10864, 785, 181, 12783, 1202, 514, 4179, 7, 706, 1356, 1522, 14304, 806, 4334, 947, 3810, 510, 2940, 4944, 2009, 937, 1348, 1870, 707, 917, 944, 2944, 2836, 512, 503, 500, 378, 497, 3246, 2772, 9213, 1274, 5672, 518, 1527, 20, 1044, 1104, 1131, 198, 9761, 503, 4100, 724, 1360, 841, 198, 3028, 5666, 726, 6804, 1339, 3660, 1104, 10980, 724, 5075, 14692, 1672]"
2,"[198, 7, 1974, 854, 1974, 8347, 198, 8256, 2950, 1145, 4179, 198, 7639, 1145, 1131, 1044, 830, 2835]"
3,"[3291, 72]"
4,"[1260, 1276, 1254, 4272, 1276, 7915, 1531, 3, 4271, 4265, 1531, 11372, 6, 11621, 1254, 1526, 4272, 1134, 1276, 4273, 12, 2749, 3542, 1260, 1275]"
5,"[1196, 7116, 1555, 2586, 2018, 3804, 1861, 846, 8251, 3788, 1540, 1196, 5673, 4171, 812, 883, 949, 7941, 7115, 15, 2765, 2970, 1274, 188, 2654, 503, 841, 3788, 4275, 2750, 12, 949, 820, 18077, 3799, 2381, 4937, 949, 949, 4272, 923, 3798, 825, 4275, 3722, 2762, 3788, 6129, 1274, 2765, 6493, 3800, 1254, 949, 2654, 785]"
6,"[7, 6800, 1104, 8907, 6257, 1677, 6802, 785, 1711, 5603, 785, 12975, 8347, 1104, 509, 23, 1714, 16010, 3549]"
7,"[5459, 8420, 2954, 1710, 518, 3416, 18521, 10973, 378, 504, 10978, 3184, 3236, 2664, 4985, 16890, 2369, 518, 955, 955, 8420, 2369, 930, 1917, 518, 378, 2014, 7509, 3197, 2954, 2044, 2014, 4136]"
9,"[1324, 11103, 7343, 5704]"
10,[6237]
12,"[17, 13]"
13,"[423, 1800, 81, 7060, 981, 13393, 12866, 7816, 6046, 13972, 18391, 53, 15250, 1945, 1835, 12002, 77, 16666, 748, 16746, 4957, 58, 366, 3100, 4126, 57, 9356, 6582, 3230, 3121, 15923, 54, 1306, 3875, 6909, 7821, 697, 7446, 18717, 238, 342, 4316, 12890, 15919, 4574, 389, 2222, 3461, 1790, 70, 15541, 5890, 18744, 81, 9357, 80, 63, 190, 53, 7029, 230, 440, 238, 697, 6760, 6949, 1633, 73, 4118, 191, 5415, 5185, 12026, 182, 1835, 18094, 18039, 2681, 1007, 1376, 3164, 2605, 903, 238, 604, 154, 66, 215, 8689, 1842, 7644, 57, 16474, 4852, 9974, 81, 5192, 314, 3110, 1965, 238, 3920, 18059, 8199, 748, 53, 56, 1764, 5615, 727, 3109, 10519, 4118, 1767, 151, 84, 748, 3109, 71, 3121, 71, 6336, 13924, 6177, 1907, 9353, 5192, 8782, 81]"
14,"[3417, 70, 1156, 5718, 1745, 6499, 744, 11105, 2158, 1743, 162, 444, 9672, 407, 11562, 703, 15760, 6675, 72, 63, 4123, 748, 7060, 3272, 107, 11609, 5348, 18248, 418, 17132, 7821, 11207, 12762, 16754, 81, 5343, 3411, 1731, 2671, 1061, 763, 389, 743, 3213, 18587, 9974, 18327, 7695, 11715, 227, 16539, 727, 15688, 1146, 132, 17379, 1073, 3875, 6756, 6164, 7468, 15707, 3417, 2681, 6187, 53, 238, 16056, 13209, 1034, 5416, 7012, 747, 3528, 691, 6048, 12002, 6161, 1836, 903, 70, 53, 12345, 7017, 18424, 1793, 14931, 981, 2060, 16860, 18555, 6055, 233, 8802, 2831, 1717, 5797, 18232, 11893, 1990, 162, 418, 744, 1745, 17389, 10164, 6756, 767, 3520, 632, 13353, 16324, 389, 4126, 5801, 18736, 963, 5503, 11128, 63, 2075, 8689, 722, 6178, 4153, 17338, 17381, 17383, 175, 93, 3560, 8919, 6038, 14057, 143, 70, 756, 6177, 10007, 1800, 8230, 2681, 1098, 5503, 4121, 8689, 13847, 6948, 6764, 2075]"
15,"[18713, 8199, 6189, 5184, 5325, 1801, 18707, 13924, 7018, 7818, 11534, 12045, 3823, 11371, 3413, 2669, 7810, 981, 1404, 18706, 1943, 2716, 2831, 146, 13318, 8513, 16324, 73, 6930, 8208, 748, 16373, 697, 16324, 12868, 81, 57, 1835, 58, 1835, 5191, 15729, 748, 126, 13393, 5193, 5181, 1790, 2605, 2616, 3687, 81, 7007, 3861, 5074, 7302, 238, 2811, 4852, 3858, 1062, 1801, 12890, 1787, 1824, 4108, 433, 238, 7811, 1943, 238, 12456, 4734]"
16,"[2027, 6698, 997, 75, 2029, 7880, 6065, 72, 15771, 12316, 3292, 15641, 7343, 1001, 11336, 7344, 425, 1122, 1881, 1008, 1885, 51, 229, 683, 1376, 1079, 6065, 2346, 30, 1001, 1017, 1892, 6732, 187, 187, 612, 5255, 4493, 99, 1076, 229, 187, 193, 1878, 3918, 5785, 1882, 59, 159, 3920, 18158, 6784, 2531, 2487, 424, 6732, 997, 1015, 72, 3920, 429, 1001, 5260, 193, 15771, 159, 6784, 10738, 11155, 13151, 994, 1008, 51, 72, 7541, 1008, 7343, 13196, 187, 3768, 1887, 59, 1083, 1878, 4245, 1006, 1394, 1878, 159, 3768, 4978, 1013, 1882, 15637, 1090, 3941, 1027, 1895, 875, 11933, 994, 85, 17873, 429, 852, 716, 993, 1878, 1886, 997, 2488, 2938, 997, 187, 2027, 59, 76, 1881, 6065, 4915, 2029, 5255, 1015, 5912, 99, 1004, 6779, 72, 1028, 6070, 59, 5908, 2562, 429, 13671, 187, 429, 7194, 4118, 1001, 6781, 2938, 2562, 7347, 2937, 994, 1704, 1027, 1014, 72, 3370, 1883, 98, 72, 61, 3941, 5260, 1881, 59, 17887, 59, 6780, 441, 898, 1151, 1076, 72, 1889, 1900, 159, 6698, 85, 13426]"
17,"[17281, 1379, 1028, 187, 193, 193, 68, 997, 13182, 3768, 6776, 2937, 994, 153, 997, 9007, 1885, 877, 1000, 51, 6544, 2347, 6742, 13192, 6736, 1074, 18434, 17331, 1072, 2134, 1019, 1713, 1080, 6544, 994]"
