(1, 340, 0.1336306209562122)
(1, 406, 0.35355339059327373)
(1, 5113, 0.35355339059327373)
(1, 1534, 0.125)
(5, 954, 0.25)
(5, 1810, 0.25)
(7, 512, 0.06804138174397717)
(7, 1145, 0.09128709291752768)
(7, 1672, 0.08333333333333333)
(7, 1701, 0.11785113019775793)
(7, 198, 0.06454972243679027)
(7, 724, 0.08333333333333333)
(7, 233, 0.15309310892394865)
(7, 754, 0.14433756729740646)
(7, 1803, 0.07216878364870323)
(7, 1360, 0.07216878364870323)
(7, 854, 0.06804138174397717)
(7, 856, 0.09128709291752768)
(7, 1104, 0.14433756729740646)
(8, 1910, 0.7071067811865475)
(9, 32, 0.5)
(9, 1270, 0.35355339059327373)
(11, 1203, 0.20412414523193154)
(11, 1256, 0.5)
(11, 8149, 0.25)
(16, 159, 0.20412414523193154)
(16401, 498, 0.1091089451179962)
(18, 1300, 0.2886751345948129)
(19, 32, 0.5)
(19, 1303, 0.7071067811865475)
(20, 4271, 0.35355339059327373)
(8215, 13888, 0.35355339059327373)
(26, 8533, 0.7071067811865475)
(26, 6760, 0.5)
(26, 5709, 0.8164965809277261)
(8219, 4113, 0.22360679774997896)
(8219, 3861, 0.2886751345948129)
(8219, 18229, 0.20412414523193154)
(8219, 10719, 0.5)
(8219, 610, 0.25)
(28, 14092, 0.2886751345948129)
(28, 4266, 0.20412414523193154)
(28, 2751, 0.2886751345948129)
(30, 1711, 0.7071067811865475)
(30, 72, 0.10783277320343841)
(30, 5609, 0.7071067811865475)
(31, 4871, 0.35355339059327373)
(31, 4874, 0.5)
(31, 1293, 0.35355339059327373)
(31, 5653, 0.25)
(31, 13754, 0.20412414523193154)
(31, 11087, 0.25)
(31, 6237, 0.25)
(31, 509, 0.25)
(31, 3188, 0.35355339059327373)
(31, 8149, 0.25)
(31, 1301, 0.35355339059327373)
(32, 9, 0.5)
(32, 1303, 0.7071067811865475)
(32, 19, 0.5)
(32, 5653, 0.35355339059327373)
(32, 13754, 0.2886751345948129)
(32, 193, 0.20412414523193154)
(32, 1098, 0.1091089451179962)
(32, 14285, 0.5)
(32, 3413, 0.4472135954999579)
(32, 59, 0.1091089451179962)
(32, 997, 0.22360679774997896)
(32, 238, 0.15075567228888181)
(32, 1270, 0.35355339059327373)
(32, 11897, 0.35355339059327373)
(15985, 14378, 0.5)
(15985, 868, 0.15075567228888181)
(36, 1410, 0.25)
(36, 4510, 0.5)
(36, 1104, 0.125)
(36, 233, 0.2651650429449553)
(36, 757, 0.1336306209562122)
(37, 6237, 0.20412414523193154)
(37, 880, 0.16666666666666666)
(8230, 1062, 0.11180339887498948)
(8230, 53, 0.17677669529663687)
(8230, 16463, 0.5)
(8230, 8790, 0.25)
(8230, 599, 0.08111071056538127)
(8230, 610, 0.17677669529663687)
(8230, 5412, 0.35355339059327373)
(8230, 8068, 0.35355339059327373)
(8230, 433, 0.15811388300841897)
(8230, 1013, 0.25)
(8230, 962, 0.15811388300841897)
(8230, 8676, 0.5)
(8232, 8201, 0.35355339059327373)
(8232, 18401, 0.35355339059327373)
(41, 6871, 0.35355339059327373)
(41, 1270, 0.35355339059327373)
(41, 18740, 0.5)
(16427, 14727, 0.35355339059327373)
(16427, 4286, 0.35355339059327373)
(44, 2691, 0.35355339059327373)
(45, 230, 0.11470786693528087)
(49, 631, 0.35355339059327373)
(49, 14511, 0.5)
(49, 6871, 0.35355339059327373)
(49, 1292, 0.5)
(50, 5581, 0.2886751345948129)
(51, 6150, 0.0545544725589981)
(51, 56, 0.041239304942116126)
(51, 59, 0.09523809523809523)
(51, 62, 0.1091089451179962)
(51, 67, 0.020619652471058063)
(51, 70, 0.10350983390135314)
(51, 72, 0.04991687442297913)
(51, 98, 0.14638501094227999)
(51, 99, 0.2439750182371333)
(51, 100, 0.1336306209562122)
(51, 2183, 0.048795003647426664)
(51, 157, 0.045501575519329006)
(51, 159, 0.0222717701593687)
(51, 166, 0.041239304942116126)
(51, 180, 0.0445435403187374)
(51, 182, 0.025031308716087945)
(51, 187, 0.07273929674533079)
(51, 190, 0.03857583749052298)
(51, 191, 0.048795003647426664)
(51, 192, 0.041239304942116126)
(51, 217, 0.03857583749052298)
(51, 221, 0.048795003647426664)
(51, 3109, 0.0629940788348712)
(51, 225, 0.048795003647426664)
(51, 227, 0.13098420799889596)
(51, 228, 0.03450327796711771)
(51, 229, 0.06299407883487121)
(51, 285, 0.03857583749052298)
(51, 10526, 0.1091089451179962)
(51, 288, 0.04052204492365539)
(51, 2346, 0.03857583749052298)
(51, 318, 0.03857583749052298)
(51, 328, 0.08247860988423225)
(51, 4444, 0.048795003647426664)
(51, 10625, 0.07715167498104596)
(51, 420, 0.048795003647426664)
(51, 2469, 0.3563483225498992)
(51, 429, 0.03857583749052298)
(51, 432, 0.03857583749052298)
(51, 434, 0.0545544725589981)
(51, 441, 0.029160592175990215)
(51, 450, 0.0545544725589981)
(51, 466, 0.02817180849095055)
(51, 2523, 0.09759000729485333)
(51, 10728, 0.1091089451179962)
(51, 2552, 0.07715167498104596)
(51, 2554, 0.0545544725589981)
(51, 511, 0.08183170883849715)
(51, 2571, 0.048795003647426664)
(51, 529, 0.0545544725589981)
(51, 533, 0.025717224993681984)
(51, 546, 0.0314970394174356)
(51, 6693, 0.1091089451179962)
(51, 6714, 0.1091089451179962)
(51, 2629, 0.0545544725589981)
(51, 599, 0.12515654358043973)
(51, 601, 0.10910894511799618)
(51, 612, 0.048795003647426664)
(51, 683, 0.03450327796711771)
(51, 704, 0.0445435403187374)
(51, 709, 0.08247860988423225)
(51, 715, 0.0445435403187374)
(51, 734, 0.0545544725589981)
(51, 735, 0.030261376633440123)
(51, 2855, 0.0629940788348712)
(51, 868, 0.03289758474798845)
(51, 875, 0.07715167498104596)
(51, 877, 0.1543033499620919)
(51, 900, 0.07715167498104596)
(51, 959, 0.0563436169819011)
(51, 3011, 0.048795003647426664)
(51, 993, 0.2672612419124244)
(51, 997, 0.048795003647426664)
(51, 998, 0.048795003647426664)
(51, 1001, 0.0629940788348712)
(51, 1002, 0.0629940788348712)
(51, 1013, 0.19287918745261487)
(51, 1014, 0.09759000729485333)
(51, 1017, 0.1636634176769943)
(51, 1048, 0.09759000729485333)
(51, 1062, 0.03450327796711771)
(51, 1066, 0.07715167498104596)
(51, 1073, 0.0445435403187374)
(51, 1079, 0.19287918745261487)
(51, 1090, 0.030261376633440123)
(51, 1098, 0.023809523809523808)
(51, 1122, 0.0890870806374748)
(51, 1132, 0.07715167498104596)
(51, 1151, 0.06900655593423542)
(51, 5260, 0.1259881576697424)
(51, 878, 0.07715167498104596)
(51, 1232, 0.1091089451179962)
(51, 3281, 0.0629940788348712)
(51, 1244, 0.11572751247156893)
(51, 1246, 0.025031308716087945)
(51, 1249, 0.05832118435198043)
(51, 3299, 0.1543033499620919)
(51, 6698, 0.1091089451179962)
(51, 1296, 0.07715167498104596)
(51, 1343, 0.1543033499620919)
(51, 3413, 0.09759000729485333)
(51, 230, 0.025031308716087945)
(51, 3436, 0.0629940788348712)
(51, 1414, 0.041239304942116126)
(51, 1416, 0.0545544725589981)
(51, 1974, 0.09759000729485333)
(51, 5785, 0.048795003647426664)
(51, 1718, 0.07715167498104596)
(51, 3768, 0.19518001458970666)
(51, 7880, 0.07715167498104596)
(51, 14052, 0.1091089451179962)
(51, 9969, 0.07715167498104596)
(51, 7927, 0.048795003647426664)
(51, 9980, 0.1636634176769943)
(51, 1814, 0.0545544725589981)
(51, 3918, 0.07715167498104596)
(51, 3920, 0.07715167498104596)
(51, 3921, 0.07715167498104596)
(51, 1882, 0.1091089451179962)
(51, 1883, 0.09759000729485333)
(51, 1884, 0.1091089451179962)
(51, 1885, 0.314970394174356)
(51, 1889, 0.1781741612749496)
(51, 1891, 0.1636634176769943)
(51, 1892, 0.1336306209562122)
(51, 1895, 0.048795003647426664)
(51, 1898, 0.0629940788348712)
(51, 1902, 0.1259881576697424)
(51, 3988, 0.0545544725589981)
(51, 1015, 0.0545544725589981)
(51, 8149, 0.07715167498104596)
(51, 2027, 0.041239304942116126)
(52, 2571, 0.1)
(52, 4113, 0.1)
(52, 54, 0.3)
(52, 2616, 0.15811388300841897)
(52, 3132, 0.15811388300841897)
(52, 1098, 0.048795003647426664)
(52, 81, 0.06741998624632421)
(52, 16474, 0.31622776601683794)
(52, 3164, 0.27386127875258304)
(52, 2149, 0.22360679774997896)
(52, 6762, 0.22360679774997896)
(52, 1983, 0.12909944487358055)
(52, 9355, 0.31622776601683794)
(52, 73, 0.12909944487358055)
(52, 10524, 0.12909944487358055)
(52, 3763, 0.09128709291752768)
(52, 3259, 0.12909944487358055)
(52, 1772, 0.11180339887498948)
(52, 238, 0.13483997249264842)
(52, 9974, 0.31622776601683794)
(52, 8068, 0.11180339887498948)
(52, 10522, 0.15811388300841897)
(52, 1824, 0.11180339887498948)
(52, 6949, 0.12909944487358055)
(52, 1835, 0.2581988897471611)
(52, 18229, 0.09128709291752768)
(52, 1801, 0.22360679774997896)
(52, 13145, 0.31622776601683794)
(52, 378, 0.05976143046671968)
(52, 748, 0.08451542547285165)
(52, 6045, 0.11180339887498948)
(53, 3614, 0.35355339059327373)
(53, 3616, 0.11180339887498948)
(53, 1062, 0.07905694150420949)
(53, 1072, 0.17677669529663687)
(53, 59, 0.0545544725589981)
(53, 72, 0.07624928516630233)
(53, 1098, 0.0545544725589981)
(53, 3110, 0.10206207261596577)
(53, 16463, 0.35355339059327373)
(53, 8790, 0.17677669529663687)
(53, 599, 0.057353933467640436)
(53, 610, 0.125)
(53, 618, 0.07905694150420949)
(53, 12918, 0.2834733547569204)
(53, 173, 0.09622504486493763)
(53, 182, 0.057353933467640436)
(53, 190, 0.08838834764831843)
(53, 709, 0.0944911182523068)
(53, 203, 0.08838834764831843)
(53, 8230, 0.17677669529663687)
(53, 8830, 0.17677669529663687)
(53, 1795, 0.11180339887498948)
(53, 216, 0.125)
(53, 5412, 0.25)
(53, 3371, 0.17677669529663687)
(53, 858, 0.0944911182523068)
(53, 4444, 0.11180339887498948)
(53, 1376, 0.17677669529663687)
(53, 3475, 0.10206207261596577)
(53, 8068, 0.25)
(53, 65, 0.053300179088902604)
(53, 1424, 0.10206207261596577)
(53, 154, 0.04564354645876384)
(53, 427, 0.25)
(53, 429, 0.08838834764831843)
(53, 433, 0.11180339887498948)
(53, 962, 0.11180339887498948)
(53, 13268, 0.14433756729740646)
(53, 16345, 0.25)
(53, 8676, 0.35355339059327373)
(53, 3068, 0.14433756729740646)
(53, 1534, 0.08838834764831843)
(54, 4113, 0.1)
(54, 533, 0.10540925533894598)
(54, 52, 0.3)
(54, 2616, 0.15811388300841897)
(54, 182, 0.051298917604257706)
(54, 14922, 0.22360679774997896)
(54, 81, 0.06741998624632421)
(54, 3164, 0.5477225575051661)
(54, 107, 0.11180339887498948)
(54, 229, 0.04303314829119352)
(54, 2425, 0.22360679774997896)
(54, 154, 0.040824829046386304)
(54, 159, 0.09128709291752768)
(54, 10524, 0.2581988897471611)
(54, 701, 0.048795003647426664)
(54, 15058, 0.4472135954999579)
(54, 5343, 0.4472135954999579)
(54, 748, 0.08451542547285165)
(54, 238, 0.06741998624632421)
(54, 3858, 0.4472135954999579)
(54, 10522, 0.31622776601683794)
(54, 3868, 0.4472135954999579)
(54, 1824, 0.11180339887498948)
(54, 3884, 0.2581988897471611)
(54, 18229, 0.18257418583505536)
(54, 2783, 0.07905694150420949)
(54, 3900, 0.15811388300841897)
(54, 227, 0.03834824944236852)
(54, 344, 0.11952286093343936)
(54, 13145, 0.31622776601683794)
(54, 7015, 0.4472135954999579)
(54, 5502, 0.4472135954999579)
(54, 6045, 0.11180339887498948)
(54, 1463, 0.1)
(54, 1470, 0.1)
(54, 3186, 0.15811388300841897)
(54, 1002, 0.12909944487358055)
(55, 530, 0.07001400420140048)
(55, 2092, 0.08574929257125441)
(55, 1076, 0.17149858514250882)
(55, 3129, 0.07001400420140048)
(55, 59, 0.05292561240249631)
(55, 6722, 0.07001400420140048)
(55, 67, 0.11458731212852642)
(55, 70, 0.03834824944236852)
(55, 72, 0.12945217625467909)
(55, 1098, 0.026462806201248155)
(55, 89, 0.08574929257125441)
(55, 5767, 0.05423261445466404)
(55, 680, 0.042874646285627205)
(55, 681, 0.042874646285627205)
(55, 2220, 0.045834924851410566)
(55, 3763, 0.04950737714883372)
(55, 288, 0.022518867455552247)
(55, 1243, 0.045834924851410566)
(55, 1246, 0.027820744203732862)
(55, 6376, 0.10846522890932808)
(55, 295, 0.05423261445466404)
(55, 298, 0.03500700210070024)
(55, 786, 0.14002800840280097)
(55, 787, 0.18190171877724973)
(55, 789, 0.17149858514250882)
(55, 285, 0.042874646285627205)
(55, 800, 0.3500700210070024)
(55, 291, 0.03241018617760822)
(55, 292, 0.0707549137677225)
(55, 293, 0.036563621206356534)
(55, 2343, 0.042874646285627205)
(55, 1832, 0.07001400420140048)
(55, 1834, 0.07001400420140048)
(55, 305, 0.14002800840280097)
(55, 306, 0.042874646285627205)
(55, 325, 0.03131121455425748)
(55, 333, 0.05292561240249631)
(55, 340, 0.09166984970282113)
(55, 4153, 0.06063390625908324)
(55, 1580, 0.07001400420140048)
(55, 5475, 0.05423261445466404)
(55, 889, 0.09901475429766744)
(55, 891, 0.07001400420140048)
(55, 11139, 0.07001400420140048)
(55, 906, 0.05423261445466404)
(55, 265, 0.07001400420140048)
(55, 3497, 0.14002800840280097)
(55, 972, 0.25724787771376323)
(55, 462, 0.14002800840280097)
(55, 467, 0.08574929257125441)
(55, 2521, 0.05423261445466404)
(55, 2523, 0.05423261445466404)
(55, 1505, 0.040422604172722164)
(55, 1001, 0.07001400420140048)
(55, 289, 0.14852213144650114)
(55, 2544, 0.09901475429766744)
(56, 533, 0.0445435403187374)
(56, 51, 0.041239304942116126)
(56, 64, 0.14285714285714285)
(56, 70, 0.11952286093343936)
(56, 157, 0.03940552031195503)
(56, 227, 0.12964074471043288)
(56, 683, 0.11952286093343936)
(56, 187, 0.0629940788348712)
(56, 703, 0.2857142857142857)
(56, 215, 0.1690308509457033)
(56, 735, 0.10482848367219183)
(56, 3707, 0.1889822365046136)
(56, 1239, 0.11396057645963795)
(56, 1398, 0.1690308509457033)
(56, 887, 0.2672612419124244)
(56, 418, 0.173421993904824)
(56, 441, 0.050507627227610534)
(56, 1983, 0.2182178902359924)
(56, 1990, 0.2672612419124244)
(56, 1486, 0.2857142857142857)
(56, 4435, 0.2182178902359924)
(57, 1007, 0.2886751345948129)
(59, 4117, 0.0629940788348712)
(59, 4118, 0.036369648372665396)
(59, 32, 0.1091089451179962)
(59, 6177, 0.048795003647426664)
(59, 51, 0.09523809523809523)
(59, 53, 0.0545544725589981)
(59, 55, 0.05292561240249631)
(59, 70, 0.06900655593423542)
(59, 72, 0.09983374884595826)
(59, 3110, 0.0445435403187374)
(59, 83, 0.1091089451179962)
(59, 84, 0.0629940788348712)
(59, 85, 0.048795003647426664)
(59, 89, 0.01928791874526149)
(59, 95, 0.0629940788348712)
(59, 96, 0.048795003647426664)
(59, 98, 0.09759000729485333)
(59, 126, 0.14638501094227999)
(59, 159, 0.0222717701593687)
(59, 173, 0.0209980262782904)
(59, 180, 0.0445435403187374)
(59, 182, 0.025031308716087945)
(59, 187, 0.036369648372665396)
(59, 190, 0.01928791874526149)
(59, 192, 0.041239304942116126)
(59, 193, 0.1336306209562122)
(59, 195, 0.0890870806374748)
(59, 18634, 0.1091089451179962)
(59, 207, 0.030261376633440123)
(59, 216, 0.0545544725589981)
(59, 217, 0.07715167498104596)
(59, 18650, 0.1091089451179962)
(59, 3109, 0.1259881576697424)
(59, 225, 0.048795003647426664)
(59, 228, 0.03450327796711771)
(59, 229, 0.0209980262782904)
(59, 235, 0.2182178902359924)
(59, 253, 0.07715167498104596)
(59, 289, 0.014847846772912466)
(59, 18737, 0.1091089451179962)
(59, 6453, 0.048795003647426664)
(59, 4153, 0.2182178902359924)
(59, 4444, 0.09759000729485333)
(59, 2407, 0.07715167498104596)
(59, 10625, 0.07715167498104596)
(59, 8582, 0.07715167498104596)
(59, 4495, 0.1091089451179962)
(59, 10657, 0.3086066999241838)
(59, 425, 0.036369648372665396)
(59, 433, 0.14638501094227999)
(59, 440, 0.03857583749052298)
(59, 441, 0.08748177652797064)
(59, 6586, 0.07715167498104596)
(59, 450, 0.1636634176769943)
(59, 10698, 0.1543033499620919)
(59, 468, 0.0545544725589981)
(59, 2531, 0.09869275424396534)
(59, 2538, 0.1259881576697424)
(59, 2552, 0.1543033499620919)
(59, 511, 0.1091089451179962)
(59, 2571, 0.048795003647426664)
(59, 529, 0.0545544725589981)
(59, 532, 0.0545544725589981)
(59, 2137, 0.0545544725589981)
(59, 546, 0.0314970394174356)
(59, 6714, 0.0545544725589981)
(59, 8790, 0.07715167498104596)
(59, 603, 0.048795003647426664)
(59, 616, 0.07715167498104596)
(59, 618, 0.03450327796711771)
(59, 627, 0.1636634176769943)
(59, 12918, 0.12371791482634838)
(59, 451, 0.1091089451179962)
(59, 6824, 0.07715167498104596)
(59, 703, 0.041239304942116126)
(59, 707, 0.023809523809523808)
(59, 709, 0.12371791482634838)
(59, 757, 0.041239304942116126)
(59, 4863, 0.1543033499620919)
(59, 777, 0.07715167498104596)
(59, 851, 0.0629940788348712)
(59, 857, 0.030261376633440123)
(59, 13158, 0.1091089451179962)
(59, 875, 0.07715167498104596)
(59, 877, 0.03857583749052298)
(59, 880, 0.0629940788348712)
(59, 894, 0.07715167498104596)
(59, 1517, 0.0629940788348712)
(59, 11155, 0.1259881576697424)
(59, 951, 0.041239304942116126)
(59, 962, 0.048795003647426664)
(59, 11215, 0.1091089451179962)
(59, 13268, 0.0629940788348712)
(59, 985, 0.0629940788348712)
(59, 991, 0.0545544725589981)
(59, 997, 0.048795003647426664)
(59, 1000, 0.0545544725589981)
(59, 1001, 0.0314970394174356)
(59, 3057, 0.030261376633440123)
(59, 1013, 0.07715167498104596)
(59, 1014, 0.048795003647426664)
(59, 1017, 0.0545544725589981)
(59, 6376, 0.048795003647426664)
(59, 5123, 0.048795003647426664)
(59, 1031, 0.07715167498104596)
(59, 1034, 0.0545544725589981)
(59, 7193, 0.07715167498104596)
(59, 7194, 0.1543033499620919)
(59, 1062, 0.06900655593423542)
(59, 1073, 0.0445435403187374)
(59, 1079, 0.11572751247156893)
(59, 5178, 0.1091089451179962)
(59, 1098, 0.023809523809523808)
(59, 1099, 0.1336306209562122)
(59, 9338, 0.1259881576697424)
(59, 1898, 0.0629940788348712)
(59, 1156, 0.1091089451179962)
(59, 7347, 0.07715167498104596)
(59, 1249, 0.05832118435198043)
(59, 3299, 0.1543033499620919)
(59, 1305, 0.1091089451179962)
(59, 3366, 0.1091089451179962)
(59, 5423, 0.1091089451179962)
(59, 18655, 0.2182178902359924)
(59, 5452, 0.09759000729485333)
(59, 13646, 0.1543033499620919)
(59, 3413, 0.14638501094227999)
(59, 6374, 0.08247860988423225)
(59, 13671, 0.07715167498104596)
(59, 5480, 0.048795003647426664)
(59, 3441, 0.2672612419124244)
(59, 1394, 0.0445435403187374)
(59, 1396, 0.07715167498104596)
(59, 1397, 0.07715167498104596)
(59, 5503, 0.07715167498104596)
(59, 1424, 0.0445435403187374)
(59, 3475, 0.0445435403187374)
(59, 15771, 0.2182178902359924)
(59, 15601, 0.07715167498104596)
(59, 5549, 0.1259881576697424)
(59, 1464, 0.036369648372665396)
(59, 13754, 0.0629940788348712)
(59, 17873, 0.1091089451179962)
(59, 1504, 0.11572751247156893)
(59, 7649, 0.0629940788348712)
(59, 1520, 0.036369648372665396)
(59, 1534, 0.07715167498104596)
(59, 9727, 0.1091089451179962)
(59, 3614, 0.1543033499620919)
(59, 9766, 0.0629940788348712)
(59, 3673, 0.0629940788348712)
(59, 11897, 0.07715167498104596)
(59, 3768, 0.048795003647426664)
(59, 11963, 0.1091089451179962)
(59, 12002, 0.1091089451179962)
(59, 18154, 0.1091089451179962)
(59, 18158, 0.1091089451179962)
(59, 1827, 0.1543033499620919)
(59, 3884, 0.0629940788348712)
(59, 994, 0.048795003647426664)
(59, 3920, 0.07715167498104596)
(59, 1883, 0.14638501094227999)
(59, 1886, 0.1259881576697424)
(59, 1895, 0.09759000729485333)
(59, 1896, 0.1889822365046136)
(59, 1899, 0.0629940788348712)
(59, 1902, 0.0629940788348712)
(59, 10105, 0.1091089451179962)
(59, 8068, 0.1091089451179962)
(59, 3978, 0.0629940788348712)
(59, 1944, 0.1091089451179962)
(59, 1958, 0.041239304942116126)
(59, 1009, 0.07715167498104596)
(59, 18391, 0.1091089451179962)
(59, 16345, 0.1091089451179962)
(59, 4085, 0.1543033499620919)
(59, 4092, 0.1091089451179962)
(62, 98, 0.22360679774997896)
(62, 3988, 0.25)
(62, 51, 0.1091089451179962)
(62, 100, 0.20412414523193154)
(62, 1902, 0.2886751345948129)
(62, 9980, 0.5)
(63, 9356, 0.25)
(63, 6177, 0.11180339887498948)
(63, 433, 0.11180339887498948)
